Version,"RVGL 21.0930a-1","P2P","Client"
Session,"03/06/23 16:11:48","MATRIX","Arcade",3,"true"
Results,"Toys in the Hood 1 R",13
#,Player,Car,Time,BestLap,Finished,Cheating
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Ultra Gamma","02:33:079","00:49:290","true","false"
02,"AHMA","NY 54","02:35:257","00:48:497","true","false"
03,"KILABARUS","Kyarus","02:39:956","00:49:765","true","false"
04,"RADIANCER","Baja Dash","02:45:759","00:50:959","true","false"
05,"ROG_97 MOBILE","Baja Dash","02:46:570","00:54:611","true","false"
06,"GREY","Mongoose","02:53:530","00:54:448","true","false"
07,"LOQ","Groovster","02:53:709","00:56:099","true","false"
08,"ALDAMA757","Dr. Grudge","02:53:858","00:54:682","true","false"
09,"&","Groovster","02:53:947","00:52:143","true","false"
10,"MATRIX","Vixen","02:54:396","00:56:622","true","false"
11,"BONCZY","Ultima","02:54:666","00:53:184","true","false"
12,"VARSA","Candy Pebbles","02:55:916","00:56:720","true","false"
13,"OWEOWE","Mystery","02:56:000","00:57:039","true","false"
14,"IURI","Evil Weasel","02:58:631","00:59:133","true","false"
15,"KONDRAKOV67","LMW","02:58:748","00:55:565","true","false"
16,"ZERNAMIO","Ultra Gamma","03:12:588","01:01:733","true","false"
Results,"ToySoldierz",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","02:17:148","00:43:404","true","false"
02,"RADIANCER","Baja Dash","02:26:964","00:42:830","true","false"
03,"ROG_97 MOBILE","Baja Dash","02:26:967","00:45:104","true","false"
04,"KILABARUS","Kyarus","02:32:346","00:49:562","false","false"
05,"ALDAMA757","Dr. Grudge","02:32:442","00:47:773","false","false"
06,"MATRIX","Vixen","02:38:807","00:52:508","false","false"
07,"AHMA","NY 54","02:38:921","00:52:632","false","false"
08,"BONCZY","Ultima","02:42:269","00:49:844","false","false"
09,"OWEOWE","Mystery","02:43:066","00:52:725","false","false"
10,"KONDRAKOV67","Candy Pebbles","02:46:259","00:53:366","false","false"
11,"&","Groovster","02:48:251","00:52:253","false","false"
12,"GREY","Mongoose","02:49:035","00:52:969","false","false"
13,"VARSA","Candy Pebbles","02:50:779","00:52:655","false","false"
14,"IURI","Evil Weasel","02:51:797","00:53:975","false","false"
15,"LOQ","Groovster","02:55:168","00:53:721","false","false"
16,"ZERNAMIO","Reddlum","05:36:310","00:56:232","false","false"
Session,"03/06/23 16:47:28","MATRIX","Arcade",3,"true"
Results,"urbanX R",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"AHMA","NY 54","02:31:806","00:45:736","true","false"
02,"VARSA","Candy Pebbles","02:41:283","00:51:163","true","false"
03,"BGM","Wild Ride","02:46:104","00:51:299","true","false"
04,"IURI","Evil Weasel","02:48:124","00:53:846","true","false"
05,"ROG_97 MOBILE","Baja Dash","02:48:556","00:54:235","true","false"
06,"KILABARUS","Kyarus","02:49:011","00:49:223","true","false"
07,"KONDRAKOV67","Candy Pebbles","02:50:495","00:52:103","true","false"
08,"GREY","Mongoose","02:51:653","00:54:900","true","false"
09,"ALDAMA757","Dr. Grudge","02:52:207","00:51:847","true","false"
10,"RADIANCER","Baja Dash","02:53:093","00:55:030","true","false"
11,"MATRIX","Vixen","02:53:598","00:54:944","true","false"
12,"&","Groovster","02:55:923","00:53:457","true","false"
13,"OWEOWE","Mystery","02:57:720","00:57:222","true","false"
14,"LOQ","Groovster","03:03:340","00:58:855","true","false"
15,"BONCZY","Ultima","03:10:406","00:52:721","true","false"
16,"ZERNAMIO","Vixen","03:18:220","00:58:725","true","false"
Results,"Fools Mate 2",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"KILABARUS","Kyarus","02:07:803","00:40:160","true","false"
02,"BGM","Wild Ride","02:13:460","00:39:807","true","false"
03,"ALDAMA757","Dr. Grudge","02:20:507","00:42:501","true","false"
04,"MATRIX","Vixen","02:22:243","00:42:544","true","false"
05,"AHMA","NY 54","02:25:972","00:42:584","true","false"
06,"IURI","Evil Weasel","02:27:933","00:44:171","true","false"
07,"KONDRAKOV67","Candy Pebbles","02:28:315","00:46:680","true","false"
08,"&","Groovster","02:33:375","00:45:253","true","false"
09,"VARSA","Candy Pebbles","02:34:512","00:47:999","true","false"
10,"GREY","Mongoose","02:36:180","00:44:845","true","false"
11,"LOQ","Groovster","02:36:345","00:48:462","true","false"
12,"BONCZY","Ultima","02:37:455","00:50:289","true","false"
13,"OWEOWE","Mystery","02:37:917","00:47:376","true","false"
14,"RADIANCER","Off Gear","02:41:420","00:49:821","true","false"
15,"ZERNAMIO","Vixen","06:20:716","01:00:437","false","false"
Results,"Grisville",16
#,Player,Car,Time,BestLap,Finished,Cheating
01,"KILABARUS","Kyarus","02:41:675","00:53:083","true","false"
