Version,"RVGL 21.0930a-1","P2P","Client"
Session,"03/06/23 16:11:48","MATRIX","Arcade",3,"true"
Results,"Toys in the Hood 1 R",13
#,Player,Car,Time,BestLap,Finished,Cheating
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ROG_97 MOBILE","Mystery","02:37:902","00:51:059","true","false"
02,"BGM","Wild Ride","02:41:685","00:53:439","true","false"
03,"GREY","Mongoose","02:49:777","00:53:439","true","false"
04,"FROSTTBITTEN","Phat Slug","02:53:977","00:54:575","true","false"
05,"IURI","Vixen","02:57:905","00:56:540","true","false"
06,"ALDAMA757","Phat Slug","03:02:420","00:59:780","true","false"
07,"MATRIX","Vixen","03:03:307","00:56:231","true","false"
08,"&","Groovster","03:04:508","00:55:362","true","false"
Results,"Botanical Garden",8
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ROG_97 MOBILE","Mystery","01:26:067","00:27:719","true","false"
02,"BGM","Wild Ride","01:26:920","00:27:546","true","false"
03,"&","Groovster","01:28:869","00:28:178","true","false"
04,"MATRIX","Vixen","01:29:662","00:27:661","true","false"
05,"IURI","Vixen","01:34:432","00:27:396","true","false"
06,"GREY","Mongoose","01:34:743","00:27:111","true","false"
07,"FROSTTBITTEN","Phat Slug","01:38:538","00:29:943","true","false"
08,"ALDAMA757","Phat Slug","01:42:680","00:33:019","true","false"
Results,"Rooftops R",8
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ROG_97 MOBILE","Mystery","02:36:430","00:49:561","true","false"
02,"BGM","Wild Ride","02:39:571","00:50:799","true","false"
03,"IURI","Vixen","02:42:477","00:53:215","true","false"
04,"&","Groovster","02:44:463","00:52:468","true","false"
05,"GREY","Mongoose","02:46:874","00:50:912","true","false"
06,"FROSTTBITTEN","Phat Slug","02:55:344","00:56:976","true","false"
07,"MATRIX","Vixen","02:58:095","00:54:977","true","false"
08,"ALDAMA757","Phat Slug","03:01:092","00:57:008","true","false"
Results,"Subway",7
#,Player,Car,Time,BestLap,Finished,Cheating
01,"GREY","Mongoose","03:30:323","01:07:576","true","false"
02,"ROG_97 MOBILE","Mystery","03:33:510","01:07:582","true","false"
03,"IURI","Vixen","03:38:234","01:10:625","true","false"
04,"MATRIX","Vixen","03:38:372","01:10:451","true","false"
05,"ALDAMA757","Dust Mite","03:40:645","01:11:903","true","false"
06,"BGM","Wild Ride","03:41:020","01:10:039","true","false"
07,"FROSTTBITTEN","Phat Slug","03:47:735","01:14:666","true","false"
Results,"SuperMarket 2",7
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ROG_97 MOBILE","Mystery","02:43:238","00:21:735","true","false"
02,"GREY","Mongoose","02:45:160","00:21:368","true","false"
03,"BGM","Wild Ride","02:50:032","00:20:260","true","false"
04,"IURI","Vixen","02:54:629","00:21:003","true","false"
05,"FROSTTBITTEN","Phat Slug","02:55:534","00:22:259","true","false"
06,"MATRIX","Vixen","02:55:947","00:22:051","true","false"
07,"ALDAMA757","Dust Mite","03:00:723","00:21:973","true","false"
Results,"RV Temple",7
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","03:01:928","01:29:665","true","false"
02,"ROG_97 MOBILE","Mystery","03:10:732","01:32:601","true","false"
03,"GREY","Mongoose","03:11:463","01:35:014","true","false"
04,"MATRIX","Vixen","03:12:697","01:32:377","true","false"
05,"IURI","Vixen","03:14:074","01:34:934","true","false"
06,"FROSTTBITTEN","Phat Slug","03:25:671","01:40:991","true","false"
07,"ALDAMA757","Dust Mite","03:30:593","01:42:677","true","false"
Results,"Skating Toys Redux",6
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","02:58:885","01:26:989","true","false"
02,"MATRIX","Vixen","02:59:243","01:26:239","true","false"
03,"GREY","Mongoose","03:02:256","01:30:184","true","false"
04,"ALDAMA757","Dr. Grudge","03:06:308","01:32:062","true","false"
05,"IURI","Vixen","03:11:547","01:35:091","true","false"
06,"FROSTTBITTEN","Phat Slug","03:18:201","01:37:815","true","false"
Results,"Moon Dawn",5
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Wild Ride","03:51:978","01:54:111","true","false"
02,"ALDAMA757","Dr. Grudge","03:57:625","01:58:348","true","false"
03,"MATRIX","Vixen","04:04:963","01:58:240","true","false"
04,"GREY","Mongoose","04:08:219","02:01:328","true","false"
05,"FROSTTBITTEN","Phat Slug","04:11:144","02:03:565","true","false"
